code,name,latitude,longitude,zipcode,address
392014,高知市,33.558737,133.531099,7808571,高知市本町5-1-45 高知市本庁舎
392014a,高知市（春野）,33.500133,133.489534,7810304,高知県高知市春野町西分338-5 高知市役所春野庁舎
392022,室戸市,33.289982,134.152186,7817185,室戸市浮津25-1 室戸市役所
392031,安芸市,33.516345,133.905828,7848501,安芸市土居82-1 安芸市役所
392049,南国市,33.575641,133.641699,7838501,南国市大そね甲2301 南国市役所
392057,土佐市,33.492063,133.428352,7811192,土佐市高岡町甲2017-1 土佐市役所
392065,須崎市,33.400565,133.282996,7858601,須崎市山手町1-7 須崎市役所
392081,宿毛市,32.933854,132.702097,7888686,宿毛市希望ヶ丘１番地 宿毛市役所
392090,土佐清水市,32.781642,132.955163,7870392,土佐清水市天神町11-2 土佐清水市役所
392103,四万十市,32.991458,132.933865,7878501,四万十市中村大橋通4-10 四万十市役所
392111,香南市,33.564227,133.700758,7815292,香南市野市町西野2706 香南市役所
392120,香美市,33.603712,133.686055,7828501,香美市土佐山田町宝町1-2-1 香美市役所
393011,東洋町,33.527966,134.280064,7817414,安芸郡東洋町大字生見758-3 東陽町役場
393029,奈半利町,33.424164,134.021062,7816402,安芸郡奈半利町乙1659-1 奈半利町役場
393037,田野町,33.427596,134.008262,7816410,安芸郡田野町1828-5 田野町役場
393045,安田町,33.439034,133.981061,7816421,安芸郡安田町大字安田1850 安田町役場
393053,北川村,33.447858,134.042106,7816441,安芸郡北川村野友甲1530 北川村役場
393061,馬路村,33.555448,134.048404,7816201,安芸郡馬路村馬路443 馬路村役場
393070,芸西村,33.527067,133.809117,7815701,安芸郡芸西村和食甲1262 芸西村役場
393410,本山町,33.759706,133.586711,7813601,高知県長岡郡本山町本山636 本山町役場
393444,大豊町,33.768709,133.643052,7890392,長岡郡大豊町津家1626 大豊町役場
393631,土佐町,33.736908,133.531892,7813492,土佐郡土佐町土居194 土佐町役場
393649,大川村,33.783981,133.466614,7813703,土佐郡大川村小松27-1 大川村役場
393860,いの町,33.548654,133.427855,7812192,吾川郡いの町1700-1 いの町役場
393878,仁淀川町,33.575048,133.171173,7811592,吾川郡仁淀川町大崎200 仁淀川町役場
394017,中土佐町,33.329403,133.224884,7891301,高岡郡中土佐町久礼6663-1 中土佐町役場
394025,佐川町,33.500924,133.286673,7891292,高岡郡佐川町甲1650-2 佐川町役場
394033,越知町,33.532836,133.252189,7811301,高岡郡越知町越知甲1970 越知町役場
394050,梼原町,33.392112,132.927026,7850695,高岡郡梼原町梼原1444-1 梼原町役場
394106,日高村,33.534959,133.37314,7812194,高岡郡日高村本郷61-1 日高村役場
394114,津野町,33.446674,133.199387,7850201,高岡郡津野町永野471-1 津野町役場
394122,四万十町,33.211892,133.136908,7868501,高岡郡四万十町琴平町16-17 四万十町役場
394246,大月町,32.841458,132.707048,7880302,幡多郡大月町弘見2230 大月町役場
394271,三原村,32.905996,132.847267,7870803,幡多郡三原村来栖野346 三原村役場
394289,黒潮町,33.024963,133.004192,7891992,幡多郡黒潮町入野5893 黒潮町役場